name,item_description
Soul Calibur II Xbox Game,"Soul Calibur 2 TRACK YOUR PACKAGE We usually ship within 2 days of purchase. You will receive a tracking # as soon as we ship. ALL ITEMS AVAILABLE **All are items are available for purchase, if it's listed , we have it! SAVE ON SHIPPING **Save on shipping ! We will bundle items for you, just let us know what you want :) The more you buy the bigger discount I can give on the items that I ship together. CHECK OUT ALL OUR COOL ITEMS! We carry xbox original xbox 360 - Playstation 1 - playstation 2 - playstation 3 - Nintendo - Wii - Gamecube - Gameboy - nes - snes-Nintendo 64 - n64 -sega"
GBA Metroid Fusion,Game only. Label shows fading. Works and saves perfectly.
PSP game lot Marvel Potter Ratchet Clank,Free shipping. You get 3 PSP games 1. Marvel alliance complete with manual 2. Ratchet & Clank size matters complete with manual 3. Harry Potter Goblet of fire with replacement box
Destiny and Gears of War Lanyards,New never used. Exclusive lanyards. Silk texture.
Super monkey ball 2,Excellent working condition
Nintendogs Nintendo DS game!,Nintendogs Nintendo DS game! Chihuahua and Friends edition! I don't ever play it anymore. My DS broke so I couldn't reset the game for you. You'll need to reset the game before you play it so you can start over on your own game! It's a really fun game!
Gameboy no charger tho,No description yet
Picross for Nintendo DS and 3DS,Game only no box
Minecraft PS3,Perfect condition
Mario Kart Wii,Works great! Fun multiplayer game.
Mario Nintendo GameCube Video Game,CIB.
Minecraft,Xbox One-Like New
Mario Golf Nintendo GameCube,"Game and case, tested and works great."
Metal Gear Solid 4 Ps3,Metal Gear solid 4 Playstation 3 Manual is NOT included Case has sticker residue on back of case Works Any questions please ask
Mafia III PS4,Mafia 3 for Playstation 4 in Like New Condition. DLC not included but comes with fold out map.
Mario vs Donkey Kong for DS,Mario vs Donkey Kong: Mini-lans Mayhem! Game only Tested and works
Pokemon Sun 3DS with Case & Manual,Good condition. Gently used. Just played until finished the story. Comes with tracking !
Batman Arkham Origins PS3 Game,"Prefect condition, great item, amazing price, works great, awesome game."
LittleBigPlanet 3 PS4,Price is firm
Sega Saturn panzer dragoon 2 complete A+,"Sega Saturn panzer dragoon 2 complete original, very nice few tiny light scratches"
N64 Nintendo 64 1080 snowboarding,N64 Nintendo 64 1080 snowboarding tested working game plays fine no rips or tears on labels
HD PVR 2 GAMING EDITON.,Been sitting on my shelf for years now. Don't really need it. Anyways it comes with everything except for the HDMI cable and the disc that comes with it (don't need it since you can download the software from HAUPPAUGE's website). [rm] SHIPPED. Open to offers
Gameboy Advance SP lot with Games,"Gameboy is in very good working condition. Comes with the charger, car charger and the bag, as well as the gameboy manuals. Also comes with LOTR, spongebob and Pokemon Emerald. Price is negotiable, please message me with any questions or concerns"
Call Of Duty Remastered and Infinite War,Great game! fun to play !
GameCube control,No description yet
Nintendo NES Game Lot!,Games included are: RBI Baseball RC Pro Am Double Dribble Super Mario Bros/Duck Hunt
PS4 The Walking Dead,"Season 2 the walking dead game. The disc is in like new condition. No scratches , no marks . i put in ""good"" condition because I dont have the cover for the box anymore just the PS4 box ."
Advance wars duel strike,Nintendo ds
Sims 2 castaway,Sims 2 castaway game only
Donkey Kong Country - Super Nintendo,Donkey Kong Country for Super Nintendo One of the most popular games Super fun game
Minecraft Favorites Download Bundle,"These aren't physical games, these are codes for downloads of games. Never used. Came with my new Xbox One but I don't play this game. Included: -Minecraft Xbox One Edition Favorites Pack -full game -Minecraft Xbox One Edition Builder's Pack-game add on -Minecraft Windows 10 Edition Beta- Full game PC Play Will also include code for 14 day free XBox gold trial. Please feel free to ask any questions!! Same day shipping!!"
Harry Potter The Order Phoenix PS2,The game has few scratches but game plays well.
Super Mario Bros. 2 3DS,Super Mario Bros. 2 3DS Works perfectly Includes original case and booklets
Mariokart DS,Works fine. Has no issues.
Razer DeathAdder,New Gaming Mouse | NEVER USED | AMAZING PRICE | ON SALE UNTILL SATURDAY | THANKS
Pokémon Red Version Gameboy + Bonus!!,Both games pictured included!
Uncharted PS3 Games,gamestop pre owned. they all work perfectly.
Mafia 3 Xbox One,Adult owned and complete.
8 3Ds Games,No description yet
"Bundle Gex, Prima Rage",No description yet
32 GB PS Vita Memory Card,"Tested and working! Check out my other video games, consoles and accessories! My store is color-coded: search BLUE for PlayStation"
For ogniel Fship bundle snes,"Super Mario world 2: Yoshi's island Batman returns Cart only Super Nintendo games. From my personal collection. Cleaned, tested, working and authentic. Label in excellent condition. Discounts for bundling. Super Mario World 2: yoshis island"
PS4 Metal gear solid V ground zeroes,No description yet
GameCube game,Used condition
Halo reach Xbox 360,Compatible for Xbox one too it's in good shape
PS3 Call of Duty Black Ops 2 game Used,This is a used PS3 Call of Duty Black Ops 2 game . Please view the pictures and if you have any questions please ask.
Xbox One Rise Of The Tomb Raider,"Comes with original artwork, protective case, insert & disc Case wear Refurbished Light to no scratches Tested & works great 100% Satisfaction Guarantee! Skip free! Entertainment Best offer In Stock Now Shipped with care Buy with confidence Free shipping All my products come with satisfaction guarenteed or your money back... Get your favorites today Promo codes may or may not be valid"
Platoon - NES,"Up for sale is Platoon for the Nintendo Entertainment System. Game works as shown, and cartridge is in good condition. Tested and working. Free shipping is included and price is firm. Thanks for looking."
Aladdin Sega CIB,"Game has been tested and works great! Comes complete with game, case, and manual. Price is firm but if you buy multiple items I can combine shipping to save you money."
Luigis mansion,Disc only in great condition ready to play.
Steam Controller FREE SHIPPING,Steam controller. Barely used.
Super Mario Bros 2 NES,In good working condition
PlayStation Move Book of Spells,"PS3 Move game inspired by the world of Harry Potter. Directions in play, no direction booklet. Great fun for Harry Potter fans."
Need for Speed PlayStation 4,Never used. No scratches.
NBA2k16 PS4,"NBA2k16 for PS4. Like new, no scratches. Everything still included. Great deal!"
Farming Simulator 15,This is a second listing for farming Simulator 15 ford the Xbox one. This one also works great and comes with original case and manual.
Watchdogs 2 - Xbox One,Brand new in factory wrapping guarantee.
Ps 1 FIFA 2000 MLS,No description yet
10 Ps3 Game Bundle,All CIB and I'm excellent condition Each one tested and working The last of us Bioshock 2 Midnight club los Angeles Tony hawk Ride Need for speed the run limited edition Grab turismo 5 Metal gear solid 4 Guitar hero 3 legends of rock Guitar hero world your Facebreaker
Nintendo DS/Game Boy Case,*includes a Pikachu carrying case and a video with two Pokemon episodes
Pokemon Alpha Sapphire and X 3ds sealed,Pokemon sapphire for Nintendo 3 ds sealed preowned packaging.
Fship Spyro the Dragon ps1,ADDITIONAL 10% OFF AT CHECKOUT! PRICES GO UP ON NOV 21ST! For Sony PlayStation from my personal collection. Light scratches. Tested to work perfectly. Additional discount for bundles
Rare Snake Dragon Handcuff Knuckle,New
Battlefield 3 PS3,"Used, great condition."
The Division PS4,Like new played once not into it case and disc in perfect condition no scratches no damages
Chibi robo,For Nintendo gamecube disc only works great
PS4 game,Duck dynasty for PS4 **Be sure to read my bio before buying. Thank you**
The Division PS4™,"No damage, it's like new, I take care of my games. I Played it a few times, but I need space on my PS4 so I will be deleting this game and would happily sell it to anyone except Gamestop."
Gears of War 4 Brand New,Xbox One Gears of War 4 brand new still packaged
My Sims Kingdom DS Game,"Great game, terrific condition! Comes complete with game and manual"
guitar hero ps2 sealed,brand new unopened guitar hero for ps2
Sonic dx,No description yet
Pink Nintendo ds lite lot,"Good, Comes with three games,stylo,and charger."
New Super Mario Bros Wii Video Game,"The game still works 100%, no flaws with it. The packaging looks almost brand new except for a nick at the top. Has all of the original components as far as I remember (original packaging, the little guidebook and such on the left side, and the game). I think there might still be data on the cd, but I'm not sure."
Super Mario Sunshine for Gamecube,"Hi, up for sale is Super Mario Sunshine for Nintendo Gamecube. Game has been tested and works great. Please message if you have any questions. Any other games you want? I have a pretty big library. Ask me and I'll put it up for sale. Thank you"
Bundle!!!,This game is completely un played! Perfect condition comes in box as well!
Overwatch xbox one,Brand new factory sealed I ship daily Thank you for looking
Assassin's Creed Brotherhood Xbox 360,Great cond
Super mario sun shine box,Super mario sun shine Box only For Nintendo game cube The price is firm
Súper Mario galaxy 2 free ship,No description yet
Nintendo Chip N Dale Game,"Complete game original box with normal wear, the game, instructions and Sleeve. Game barely played. From smoke free home instant ship"
The Division Gold Edition PS4,Comes complete. Disc has no scratches and has been tested and works great! DLC has been used.
Wii U Pro Controller (Like New),LIKE NEW Wii U controller. No Cable
Mlb 17 the show ps4,Haven't played it that much
New Sealed Modern Warfare 3 Xbox 360,Brand-new still sealed in the shrinkwrap!
Nintendo ds,"Pink, comes with charger and one game"
Original Gameboy,"In good shape. Works fine. Comes with Tetris dx game. Minor wear on screen, hard to notice. Game boy System"
Hot Shot Golf (Ps2),Complete! Works fine! Check out my other games/dvds! Free shipping!
Overwatch (PS4),Forgot to turn into redbox and paid full price. Didn't really like it. No scratches on back.
NINTENDO ESHOP [rm] gift card,For use only on Nintendo 3DS or Wii U Games videos and more Mail delivery only and only for users with previous feedback I will cancel transaction for any suspicious purchase
Dogz 2 GBA Nintendo gameboy Advance,No description yet
Animal crossing Ds,Animal crossing Ds Nintendo
Midnight Club L.A. Remix (PSP),"Midnight Club L.A. Remix video game for psp. gently used. perfect condition. if you have any questions about this item, please feel free to message me!"
Ghost Recon Wildlands for XBOX ONE,"Brand new, Sealed. See my other listings, I have a PS4 copy as well"
Hitman The Complete First Season,"Steelbook edition, all codes included. Beat it, fun game but I don't need it anymore. Comes with 3 bonus missions, soundtrack, requiem blood money pack, and documentary."
Scooby-Doo! Unmasked Nintendo GameCube,Good copy of Scooby-Doo! Unmasked for nintendo GameCube. Case kind of sucks but it has the manual. Works great! Shipping is on me!
Black Ops 3 PS3,No description yet
Bundle of Nintendo 64 Games and cord,NASCAR 99 Mortal kombat trilogy Mario Tennis Tony hawks pro skater Quest 64 Forsaken 64 duke nukem And the cable for one. Already sold the game system itself. All worked when last used! Have writing on them see pictures. Good shape !
3 games Xbox 360,Halo 4 Call of duty ghosts Skyrim All games together
12 NES Cartridge sleeves/covers,12 used NES Cartridge covers. All in great shape. Keep your games dust free...
